Match Date,Team,Opponent,Player,Runs,Balls Faced,Wickets,Overs Bowled,Strike Rate,Batting Average,Economy Rate,Catches,Stumpings,Win Percentage
2024-01-01,Australia,England,Babar Azam,51,12,1,7,174.15,23.53,7.66,2,0,77
2024-01-02,South Africa,England,Virat Kohli,110,56,0,3,173.53,28.15,4.56,1,0,46
2024-01-03,England,Pakistan,Babar Azam,135,15,3,4,109.95,46.7,7.81,1,1,67
2024-01-04,South Africa,Australia,Kane Williamson,124,10,0,2,187.76,58.58,4.37,3,1,79
2024-01-05,Australia,Pakistan,Steve Smith,72,111,0,9,131.52,39.77,8.49,0,0,64
2024-01-06,India,Pakistan,David Warner,104,86,3,0,98.9,42.85,6.79,3,0,71
2024-01-07,South Africa,England,Quinton de Kock,29,72,0,2,124.3,21.56,4.36,2,2,75
2024-01-08,Pakistan,India,David Warner,20,88,5,1,197.0,48.33,5.03,1,2,40
2024-01-09,India,India,Quinton de Kock,38,58,1,9,168.35,50.75,5.33,3,2,52
2024-01-10,South Africa,Pakistan,Quinton de Kock,115,48,5,0,52.71,41.29,8.29,1,2,79
2024-01-11,South Africa,England,Virat Kohli,71,86,5,3,117.03,40.35,7.88,2,0,74
2024-01-12,Pakistan,Australia,Babar Azam,76,33,4,7,53.91,27.55,9.98,2,2,43
2024-01-13,Pakistan,India,Kane Williamson,126,33,4,7,147.92,55.06,4.07,1,1,58
2024-01-14,Australia,Pakistan,Steve Smith,145,102,0,10,180.43,27.91,6.71,2,1,46
2024-01-15,South Africa,India,Ben Stokes,122,22,0,8,88.53,41.7,7.42,0,0,76
2024-01-16,England,Australia,Steve Smith,76,58,5,6,184.52,39.75,5.64,0,1,80
2024-01-17,England,India,Virat Kohli,44,74,2,9,60.64,55.04,4.88,2,2,66
2024-01-18,India,South Africa,Joe Root,135,34,4,0,187.03,39.82,3.58,3,0,60
2024-01-19,England,India,Rohit Sharma,3,46,0,8,169.46,33.87,5.21,1,0,45
2024-01-20,England,England,Steve Smith,3,57,0,5,88.74,39.46,3.02,2,2,43
